Adjacency Listing
0,1
0,2
1,2
1,3
1,4
2,4
2,5
3,4
4,5
3,6
3,7
4,7
4,8
5,8
5,9
6,7
7,8
8,9
6,10
6,11
7,11
7,12
8,12
8,13
9,13
9,14
10,11
11,12
12,13
13,14
10,15
10,16
11,16
11,17
12,17
12,18
13,18
13,19
14,19
14,20
15,16
16,17
17,18
18,19
19,20
15,21
15,22
16,22
16,23
17,23
17,24
18,24
18,25
19,25
19,26
20,26
20,27
21,22
22,23
23,24
24,25
25,26
26,27
21,28
21,29
22,29
22,30
23,30
23,31
24,31
24,32
25,32
25,33
26,33
26,34
27,34
27,35
28,29
29,30
30,31
31,32
32,33
33,34
34,35
28,36
28,37
29,37
29,38
30,38
30,39
31,39
31,40
32,40
32,41
33,41
33,42
34,42
34,43
35,43
35,44
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
36,45
36,46
37,46
37,47
38,47
38,48
39,48
39,49
40,49
40,50
41,50
41,51
42,51
42,52
43,52
43,53
44,53
44,54
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
45,55
45,56
46,56
46,57
47,57
47,58
48,58
48,59
49,59
49,60
50,60
50,61
51,61
51,62
52,62
52,63
53,63
53,64
54,64
54,65
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
55,66
55,67
56,67
56,68
57,68
57,69
58,69
58,70
59,70
59,71
60,71
60,72
61,72
61,73
62,73
62,74
63,74
63,75
64,75
64,76
65,76
65,77
66,67
67,68
68,69
69,70
70,71
71,72
72,73
73,74
74,75
75,76
76,77
66,78
66,79
67,79
67,80
68,80
68,81
69,81
69,82
70,82
70,83
71,83
71,84
72,84
72,85
73,85
73,86
74,86
74,87
75,87
75,88
76,88
76,89
77,89
77,90
78,79
79,80
80,81
81,82
82,83
83,84
84,85
85,86
86,87
87,88
88,89
89,90
78,91
78,92
79,92
79,93
80,93
80,94
81,94
81,95
82,95
82,96
83,96
83,97
84,97
84,98
85,98
85,99
86,99
86,100
87,100
87,101
88,101
88,102
89,102
89,103
90,103
90,104
91,92
92,93
93,94
94,95
95,96
96,97
97,98
98,99
99,100
100,101
101,102
102,103
103,104
